POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G.1,GS,IP,K/9,BB/9,HR/9,BABIP.1,LOB%,GB%,ERA,FIP,WAR.1,Draft_POS
Batter,Ezequiel Tovar,COL,140.0,603,20.0,72.0,75.0,9.0,5.20%,23.50%,0.178,0.316,0.263,0.304,0.441,0.32,91.0,0.2,-6.2,11.8,2.6,,,,,,,,,,,,,,,,Util
Batter,Luke Keaschall,MIN,109.0,479,10.0,56.0,53.0,20.0,9.90%,16.90%,0.133,0.307,0.267,0.35,0.4,0.331,112.0,0.6,7.2,1.3,2.6,,,,,,,,,,,,,,,,Util
Batter,Yandy Díaz,TBR,133.0,614,21.0,84.0,67.0,3.0,9.70%,15.60%,0.171,0.314,0.287,0.362,0.458,0.355,128.0,-1.7,18.8,-14.9,2.6,,,,,,,,,,,,,,,,Util
Batter,Ceddanne Rafaela,BOS,132.0,510,16.0,59.0,62.0,18.0,4.70%,20.70%,0.168,0.298,0.257,0.299,0.425,0.312,95.0,1.2,-1.6,9.0,2.5,,,,,,,,,,,,,,,,Util
Batter,Chase Meidroth,CHW,106.0,483,8.0,60.0,39.0,12.0,11.60%,14.70%,0.109,0.296,0.261,0.356,0.37,0.325,108.0,-0.2,4.5,3.7,2.5,,,,,,,,,,,,,,,,Util
Batter,Roman Anthony,BOS,111.0,511,15.0,73.0,52.0,8.0,13.10%,25.10%,0.175,0.338,0.264,0.365,0.439,0.352,123.0,0.1,13.7,-6.7,2.5,,,,,,,,,,,,,,,,Util
Batter,Shea Langeliers,ATH,111.0,492,27.0,68.0,71.0,5.0,7.50%,22.70%,0.234,0.273,0.25,0.311,0.484,0.339,115.0,-0.4,8.5,4.7,2.5,,,,,,,,,,,,,,,,Util
Batter,JJ Wetherholt,STL,106.0,494,12.0,64.0,43.0,12.0,10.40%,17.60%,0.137,0.293,0.255,0.342,0.393,0.324,110.0,0.3,6.0,1.9,2.5,,,,,,,,,,,,,,,,Util
Batter,Yainer Diaz,HOU,120.0,481,19.0,57.0,66.0,2.0,4.40%,17.00%,0.181,0.295,0.273,0.308,0.454,0.327,110.0,-0.6,5.1,6.3,2.5,,,,,,,,,,,,,,,,Util
Batter,Isaac Paredes,HOU,109.0,478,21.0,64.0,63.0,1.0,11.50%,16.80%,0.204,0.259,0.248,0.349,0.452,0.349,125.0,-1.1,13.1,-5.3,2.5,,,,,,,,,,,,,,,,Util
Batter,Josh Naylor,SEA,133.0,570,23.0,71.0,80.0,15.0,8.30%,15.60%,0.184,0.281,0.266,0.33,0.45,0.335,122.0,-0.3,14.3,-9.9,2.5,,,,,,,,,,,,,,,,Util
Batter,Andy Pages,LAD,124.0,493,21.0,62.0,68.0,9.0,5.90%,21.30%,0.195,0.286,0.255,0.308,0.451,0.326,110.0,0.1,5.7,1.9,2.5,,,,,,,,,,,,,,,,Util
Batter,Francisco Alvarez,NYM,96.0,366,18.0,48.0,50.0,2.0,9.40%,24.40%,0.217,0.274,0.241,0.32,0.458,0.335,119.0,-0.6,7.5,1.8,2.4,,,,,,,,,,,,,,,,Util
Batter,George Springer,TOR,134.0,609,26.0,86.0,73.0,13.0,10.10%,19.30%,0.196,0.285,0.259,0.34,0.455,0.344,122.0,0.7,16.5,-14.0,2.4,,,,,,,,,,,,,,,,Util
Batter,Xavier Edwards,MIA,106.0,482,4.0,59.0,39.0,22.0,8.90%,13.90%,0.09,0.328,0.286,0.352,0.376,0.321,104.0,1.9,4.4,2.9,2.4,,,,,,,,,,,,,,,,Util
Batter,Bryson Stott,PHI,127.0,529,13.0,62.0,58.0,21.0,8.90%,16.30%,0.138,0.288,0.257,0.327,0.395,0.316,100.0,1.6,1.8,3.4,2.3,,,,,,,,,,,,,,,,Util
Batter,Drake Baldwin,ATL,110.0,485,18.0,65.0,61.0,1.0,9.30%,17.10%,0.18,0.293,0.268,0.341,0.448,0.343,120.0,-1.0,10.4,-2.5,2.3,,,,,,,,,,,,,,,,Util
Batter,Kazuma Okamoto,TOR,130.0,516,22.0,61.0,68.0,3.0,8.80%,17.00%,0.195,0.261,0.248,0.321,0.444,0.328,111.0,-0.9,5.9,-1.5,2.3,,,,,,,,,,,,,,,,Util
Batter,Luis Arraez,SFG,129.0,592,6.0,72.0,51.0,9.0,5.10%,4.50%,0.098,0.31,0.305,0.345,0.403,0.326,111.0,0.0,8.0,-5.5,2.3,,,,,,,,,,,,,,,,Util
Batter,Jordan Westburg,BAL,96.0,414,17.0,54.0,55.0,4.0,6.50%,21.70%,0.2,0.302,0.264,0.32,0.464,0.337,118.0,-0.2,8.5,-0.7,2.3,,,,,,,,,,,,,,,,Util
Batter,Dillon Dingler,DET,86.0,344,10.0,36.0,39.0,1.0,6.80%,24.30%,0.159,0.299,0.245,0.305,0.404,0.308,96.0,-0.4,-1.8,8.4,2.3,,,,,,,,,,,,,,,,Util
Batter,Colson Montgomery,CHW,118.0,527,24.0,65.0,64.0,3.0,8.70%,29.20%,0.197,0.271,0.221,0.299,0.417,0.311,98.0,-0.6,-1.7,5.4,2.2,,,,,,,,,,,,,,,,Util
Batter,Taylor Ward,BAL,137.0,610,25.0,80.0,77.0,5.0,10.30%,24.00%,0.194,0.287,0.244,0.328,0.437,0.332,115.0,-1.5,9.3,-8.4,2.2,,,,,,,,,,,,,,,,Util
Batter,Ben Rice,NYY,108.0,465,23.0,62.0,68.0,4.0,10.30%,21.40%,0.229,0.267,0.246,0.332,0.475,0.347,125.0,-0.8,12.9,-7.0,2.2,,,,,,,,,,,,,,,,Util
Batter,Trent Grisham,NYY,106.0,478,20.0,65.0,52.0,5.0,12.80%,25.00%,0.194,0.255,0.219,0.326,0.413,0.324,109.0,-0.4,4.7,0.4,2.2,,,,,,,,,,,,,,,,Util
Batter,Iván Herrera,STL,109.0,472,16.0,59.0,60.0,7.0,10.60%,19.50%,0.168,0.316,0.273,0.362,0.441,0.351,128.0,-0.1,15.7,-10.1,2.2,,,,,,,,,,,,,,,,Util
Batter,Royce Lewis,MIN,117.0,468,20.0,57.0,63.0,9.0,7.70%,21.50%,0.195,0.281,0.251,0.311,0.446,0.326,108.0,-0.2,4.4,0.8,2.2,,,,,,,,,,,,,,,,Util
Batter,Jakob Marsee,MIA,118.0,541,12.0,70.0,46.0,33.0,11.70%,22.50%,0.141,0.286,0.232,0.331,0.373,0.313,99.0,2.7,1.9,1.4,2.2,,,,,,,,,,,,,,,,Util
Batter,Otto Lopez,MIA,116.0,488,10.0,52.0,53.0,13.0,7.20%,15.10%,0.126,0.302,0.271,0.327,0.397,0.316,101.0,0.6,0.9,4.1,2.2,,,,,,,,,,,,,,,,Util
Batter,Andrés Giménez,TOR,134.0,526,12.0,61.0,55.0,18.0,5.80%,17.30%,0.131,0.287,0.253,0.311,0.383,0.304,94.0,1.2,-2.2,5.4,2.2,,,,,,,,,,,,,,,,Util
Batter,Brent Rooker,ATH,139.0,608,30.0,82.0,91.0,5.0,9.60%,25.60%,0.228,0.303,0.257,0.335,0.485,0.351,123.0,-1.0,15.6,-15.3,2.2,,,,,,,,,,,,,,,,Util
Batter,Ian Happ,CHC,143.0,627,22.0,79.0,74.0,7.0,12.40%,23.90%,0.178,0.291,0.241,0.339,0.419,0.332,115.0,-0.8,10.1,-9.9,2.1,,,,,,,,,,,,,,,,Util
Batter,Caleb Durbin,BOS,110.0,445,9.0,51.0,47.0,18.0,7.40%,11.00%,0.14,0.283,0.267,0.34,0.407,0.328,106.0,1.0,4.2,1.4,2.1,,,,,,,,,,,,,,,,Util
Batter,Bo Naylor,CLE,104.0,405,16.0,46.0,48.0,4.0,10.70%,24.50%,0.186,0.257,0.221,0.307,0.406,0.311,100.0,-0.4,-0.5,6.9,2.1,,,,,,,,,,,,,,,,Util
Batter,Alec Bohm,PHI,124.0,532,14.0,61.0,67.0,3.0,6.90%,15.60%,0.15,0.304,0.275,0.33,0.426,0.328,108.0,-1.0,4.3,-1.2,2.1,,,,,,,,,,,,,,,,Util
Batter,Tyler Soderstrom,ATH,106.0,461,22.0,60.0,67.0,5.0,8.70%,22.30%,0.216,0.292,0.259,0.329,0.475,0.345,119.0,-0.6,9.9,-5.0,2.1,,,,,,,,,,,,,,,,Util
Batter,Munetaka Murakami,CHW,136.0,587,32.0,75.0,85.0,8.0,12.60%,29.00%,0.227,0.275,0.23,0.333,0.457,0.339,118.0,-0.9,11.5,-11.2,2.1,,,,,,,,,,,,,,,,Util
Batter,Michael Busch,CHC,115.0,506,23.0,69.0,66.0,3.0,10.40%,24.70%,0.218,0.291,0.248,0.334,0.466,0.344,123.0,-1.4,12.6,-8.9,2.1,,,,,,,,,,,,,,,,Util
Batter,Jackson Holliday,BAL,102.0,442,12.0,57.0,44.0,13.0,10.40%,21.20%,0.152,0.299,0.251,0.334,0.403,0.323,109.0,0.1,4.7,0.5,2.1,,,,,,,,,,,,,,,,Util
Batter,Vinnie Pasquantino,KCR,127.0,560,25.0,73.0,82.0,1.0,8.80%,15.00%,0.213,0.274,0.267,0.337,0.481,0.349,122.0,-1.9,12.7,-11.5,2.1,,,,,,,,,,,,,,,,Util
Batter,Ozzie Albies,ATL,132.0,549,17.0,64.0,65.0,10.0,7.60%,15.10%,0.162,0.278,0.258,0.32,0.421,0.321,105.0,0.2,3.5,-1.3,2.1,,,,,,,,,,,,,,,,2B
Batter,Jake Cronenworth,SDP,135.0,590,14.0,69.0,56.0,5.0,10.50%,19.90%,0.14,0.278,0.236,0.329,0.376,0.313,103.0,-0.5,1.9,-1.2,2.1,,,,,,,,,,,,,,,,Util
Batter,Ryan Jeffers,MIN,110.0,454,15.0,52.0,53.0,2.0,9.40%,21.00%,0.172,0.283,0.245,0.329,0.417,0.326,109.0,-1.1,3.5,1.9,2.1,,,,,,,,,,,,,,,,Util
Batter,Alec Burleson,STL,124.0,541,20.0,66.0,73.0,6.0,7.10%,14.00%,0.177,0.291,0.278,0.333,0.455,0.34,121.0,-1.3,12.1,-9.9,2.1,,,,,,,,,,,,,,,,Util
Batter,J.P. Crawford,SEA,116.0,498,10.0,59.0,44.0,5.0,11.90%,19.50%,0.119,0.289,0.242,0.337,0.36,0.312,106.0,-0.6,2.8,0.1,2.0,,,,,,,,,,,,,,,,Util
Batter,Freddy Fermin,SDP,102.0,393,10.0,42.0,41.0,3.0,7.00%,19.60%,0.129,0.291,0.249,0.306,0.378,0.3,95.0,-0.2,-2.8,9.4,2.0,,,,,,,,,,,,,,,,Util
Batter,Nolan Schanuel,LAA,126.0,559,16.0,68.0,62.0,6.0,11.70%,13.80%,0.15,0.29,0.27,0.363,0.42,0.343,120.0,-1.6,11.5,-11.1,2.0,,,,,,,,,,,,,,,,Util
